�ледствие рахита;E64.3;70100
10070312;Спайки матки;N73.6;70383
10070313;Спайки матки внутренние;N85.6;70384
10070314;Спайки матки с брюшной стенкой;N73.6;70385
10070315;Спайки мозговых оболочек;G96.1;70386
10070316;Спайки мозговых оболочек врожденные;Q07.8;70387
10070317;Спайки мозговых оболочек при туберкулезе;A17.0;70388
10070318;Спайки мочевого пузыря;N32.8;70389
10070319;Спайки надгортанника;J38.7;70390
10070320;Спайки носовой перегородки;J34.8;70391
10070321;Спайки носовой перегородки с носовой раковиной;J34.8;70392
10070322;Спайки ободочной кишки;K66.0;70393
10070323;Спайки обструктивные брюшинные;K56.5;70394
10070324;Спайки обструктивные кишечника;K56.5;70395
10070325;Спайки общего желчного протока;K83.8;70396
10070326;Спайки околоматочные;N73.6;70397
10070327;Спайки околомочеточниковые;N28.8;70398
10070328;Спайки околопочечные;N28.8;70399
10070329;Спайки околояичниковые;N73.6;70400
10070330;Спайки параовариальные;N73.6;70401
10070331;Спайки периаппендикулярные;K66.0;70402
10070332;Спайки периаппендикулярные врожденные;Q43.3;70403
10070333;Спайки перивезикальные;N32.8;70404
10070334;Спайки перивезикулярные;N50.8;70405
10070335;Спайки перигастральные;K66.0;70406
10070336;Спайки перикарда;I31.0;70407
10070337;Спайки перикарда очаговые;I31.8;70408
10070338;Спайки перикарда очаговые ревматические;I09.2;70409
10070339;Спайки перикарда очаговые туберкулезные;A18.8;70410
10070340;Спайки перипростатические;N42.8;70411
10070341;Спайки перитубальные;N73.6;70412
10070342;Спайки печени;K66.0;70413
10070343;Спайки печеночного желчного протока;K83.8;70414
10070344;Спайки плевральные;J94.8;70415
10070345;Спайки плевральные при туберкулезе;A16.5;70416
10070346;Спайки плевроперикардиальные;J94.8;70417
10070347;Спайки плевры;J94.8;70418
10070348;Спайки плевры при туберкулезе;A16.5;70419
10070349;Спайки плеча;M75.0;70420
10070350;Спайки подвздошной кишки;K66.0;70421
10070351;Спайки подлопаточные;M75.0;70422
10070352;Спайки полового члена с мошонкой;Q55.8;70423
10070353;Спайки полового члена с мошонкой врожденные;Q55.8;70424
10070354;Спайки половых губ врожденные;Q52.5;70425
10070355;Спайки послеоперационные;N99.2;70426
10070356;Спайки послеоперационные влагалищные;N99.2;70427
10070357;Спайки послеоперационные вследствие инородного тела случайно оставленного в ране;T81.5;70428
10070358;Спайки послеоперационные с кишечной непроходимостью;K91.3;70429
10070359;Спайки послеоперационные тазовые брюшинные;N99.4;70430
10070360;Спайки послеродовые старые;N90.8;70431
10070361;Спайки послеродовые старые вульвы;N90.8;70432
10070362;Спайки послеродовые старые промежности;N90.8;70433
10070363;Спайки постинфекционные;K66.0;70434
10070364;Спайки привратника желудка;K66.0;70435
10070365;Спайки придатка яичка;N50.8;70436
10070366;Спайки пузырного протока;K82.8;70437
10070367;Спайки радужной оболочки;H21.5;70438
10070368;Спайки радужной оболочки с трансплантатом роговицы;T85.8;70439
10070369;Спайки с непроходимостью кишечника;K56.5;70440
10070370;Спайки сальника;K66.0;70441
10070371;Спайки седалищного нерва;G57.0;70442
10070372;Спайки семенного канатика;N50.8;70443
