�ледствие рахита;E64.3;70100
10079921;Эндокардит митрального клапана с болезнью аортального клапана активный с ревматической хореей;I02.0;79992
10079922;Эндокардит митрального клапана с болезнью аортального клапана активный с хореей;I02.0;79993
10079923;Эндокардит митрального клапана с болезнью аортального клапана активный с хореей Сиденгама;I02.0;79994
10079924;Эндокардит митрального клапана с болезнью аортального клапана и болезнью трехстворчатого клапана;I08.3;79995
10079925;Эндокардит митрального клапана с болезнью аортального клапана острый;I01.1;79996
10079926;Эндокардит митрального клапана с болезнью аортального клапана острый с острой хореей;I02.0;79997
10079927;Эндокардит митрального клапана с болезнью аортального клапана острый с ревматической хореей;I02.0;79998
10079928;Эндокардит митрального клапана с болезнью аортального клапана острый с хореей;I02.0;79999
10079929;Эндокардит митрального клапана с болезнью аортального клапана острый с хореей Сиденгама;I02.0;80000
10079930;Эндокардит митрального клапана с болезнью трехстворчатого клапана;I08.1;80001
10079931;Эндокардит митрального клапана с болезнью трехстворчатого клапана и болезнью аортального клапана;I08.3;80002
10079932;Эндокардит митрального клапана с ревматической лихорадкой в фазе покоя;I05.9;80003
10079933;Эндокардит митрального клапана с ревматической лихорадкой в фазе покоя с хореей;I05.9;80004
10079934;Эндокардит митрального клапана с ревматической лихорадкой неактивный;I05.9;80005
10079935;Эндокардит митрального клапана с ревматической лихорадкой неактивный с хореей;I05.9;80006
10079936;Эндокардит митрального клапана с хореей;I05.9;80007
10079937;Эндокардит митрального клапана уточненный;I05.8;80008
10079938;Эндокардит митрального клапана фиброзный;I05.9;80009
10079939;Эндокардит митрального клапана хронический;I05.9;80010
10079940;Эндокардит монилиазный;B37.6;80011
10079941;Эндокардит небактериальный;I38;80012
10079942;Эндокардит нескольких клапанов;I08.9;80013
10079943;Эндокардит нескольких клапанов с уточненными нарушениями;I08.8;80014
10079944;Эндокардит острый;I33.9;80015
10079945;Эндокардит острый инфекционный;I33.9;80016
10079946;Эндокардит острый ревматический;I01.1;80017
10079947;Эндокардит острый ревматический аортального клапана;I01.1;80018
10079948;Эндокардит острый ревматический аортального клапана с острой хореей;I02.0;80019
10079949;Эндокардит острый ревматический аортального клапана с ревматической хореей;I02.0;80020
10079950;Эндокардит острый ревматический аортального клапана с хореей;I02.0;80021
10079951;Эндокардит острый ревматический аортального клапана с хореей Сиденгама;I02.0;80022
10079952;Эндокардит острый ревматический клапана легочной артерии;I01.1;80023
10079953;Эндокардит острый ревматический клапана легочной артерии с острой хореей;I02.0;80024
10079954;Эндокардит острый ревматический клапана легочной артерии с ревматической хореей;I02.0;80025
10079955;Эндокардит острый ревматический клапана легочной артерии с хореей;I02.0;80026
10079956;Эндокардит острый ревматический клапана легочной артерии с хореей Сиденгама;I02.0;80027
10079957;Эндокардит острый ревматический митрального клапана;I01.1;80028
10079958;Эндокардит острый ревматический митрального клапана с острой хореей;I02.0;80029
10079959;Эндокардит острый ревматический митрального клапана с ревматической хореей;I02.0;80030
10079960;Эндокардит острый ревматический митрального клапана с хореей;I02.0;80031
10079961;Эндокардит острый ревматический митрального клапана с хореей Сиденгама;I02.0;80032
10079962;Эндокардит острый ревматический с острой хореей;I02.0;80033
10079963;Эндокардит острый ревматический с ревматической хореей;I02.0;80034
10079964;Эндокардит острый ревматический с хореей;I02.0;80035
10079965;Эндокардит острый ревматический с хореей Сиденгама;I02.0;80036
10079966;Эндокардит острый ревматический трехстворчатого клапана;I01.1;80037
10079967;Эндокардит острый ревматический трехстворчатого клапана с острой хореей;I02.0;80038
10079968;Эндокардит острый ревматический трехстворчатого клапана с ревматической хореей;I02.0;80039
10079969;Эндокардит острый ревматический трехстворчатого клапана с хореей;I02.0;80040
10079970;Эндокардит острый ревматический трехстворчатого клапана с хореей Сиденгама;I02.0;80041
10079971;Эндокардит пневмококковый;I33.0;80042
10079972;Эндокардит пневмококковый острый;I33.0;80043
10079973;Эндокардит пневмококковый подострый;I33.0;80044
10079974;Эндокардит подострый;I33.9;80045
10079975;Эндокардит подострый инфекционный;I33.9;80046
10079976;Эндокардит подострый ревматический;I01.1;80047
10079977;Эндокардит подострый ревматический аортального клапана;I01.1;80048
10079978;Эндокардит подострый ревматический аортального клапана с острой хореей;I02.0;80049
10079979;Эндокардит подострый ревматический аортального клапана с ревматической хореей;I02.0;80050
10079980;Эндокардит подострый ревматический аортального клапана с хореей;I02.0;80051
10079981;Эндокардит подострый ревматический аортального клапана с хореей Сиденгама;I02.0;80052
10079982;Эндокардит подострый ревматический клапана легочной артерии;I01.1;80053
10079983;Эндокардит подострый ревматический клапана легочной артерии с острой хореей;I02.0;80054
10079984;Эндокардит подострый ревматический клапана легочной артерии с ревматической хореей;I02.0;80055
10079985;Эндокардит подострый ревматический клапана легочной артерии с хореей;I02.0;80056
10079986;Эндокардит подострый ревматический клапана легочной артерии с хореей Сиденгама;I02.0;80057
10079987;Эндокардит подострый ревматический митрального клапана;I01.1;80058
10079988;Эндокардит подострый ревматический митрального клапана с острой хореей;I02.0;80059
10079989;Эндокардит подострый ревматический митрального клапана с ревматической хореей;I02.0;80060
10079990;Эндокардит подострый ревматический митрального клапана с хореей;I02.0;80061
10079991;Эндокардит подострый ревматический митрального клапана с хореей Сиденгама;I02.0;80062
10079992;Эндокардит подострый ревматический с острой хореей;I02.0;80063
10079993;Эндокардит подострый ревматический с ревматической хореей;I02.0;80064
10079994;Эндокардит подострый ревматический с хореей;I02.0;80065
10079995;Эндокардит подострый ревматический с хореей Сиденгама;I02.0;80066
10079996;Эндокардит подострый ревматический трехстворчатого клапана;I01.1;80067
10079997;Эндокардит подострый ревматический трехстворчатого клапана с острой хореей;I02.0;80068
10079998;Эндокардит подострый ревматический трехстворчатого клапана с ревматической хореей;I02.0;80069
10079999;Эндокардит подострый ревматический трехстворчатого клапана с хореей;I02.0;80070
10080000;Эндокардит подострый ревматический трехстворчатого клапана с хореей Сиденгама;I02.0;80071
10080001;Эндокардит при лихорадке Q;A78;80072
10080002;Эндокардит ревматический активный;I01.1;80073
10080003;Эндокардит ревматический активный аортального клапана;I01.1;80074
10080004;Эндокардит ревматический активный аортального клапана с острой хореей;I02.0;80075
10080005;Эндокардит ревматический активный аортального клапана с ревматической хореей;I02.0;80076
10080006;Эндокардит ревматический активный аортального клапана с хореей;I02.0;80077
10080007;Эндокардит ревматический активный аортального клапана с хореей Сиденгама;I02.0;80078
10080008;Эндокардит ревматический активный клапана легочной артерии;I01.1;80079
10080009;Эндокардит ревматический активный клапана легочной артерии с острой хореей;I02.0;80080
10080010;Эндокардит ревматический активный клапана легочной артерии с ревматической хореей;I02.0;80081
10080011;Эндокардит ревматический активный клапана легочной артерии с хореей;I02.0;80082
10080012;Эндокардит ревматический активный клапана легочной артерии с хореей Сиденгама;I02.0;80083
10080013;Эндокардит ревматический активный митрального клапана;I01.1;80084
10080014;Эндокардит ревматический активный митрального клапана с острой хореей;I02.0;80085
10080015;Эндокардит ревматический активный митрального клапана с ревматической хореей;I02.0;80086
10080016;Эндокардит ревматический активный митрального клапана с хореей;I02.0;80087
10080017;Эндокардит ревматический активный митрального клапана с хореей Сиденгама;I02.0;80088
10080018;Эндокардит ревматический активный с острой хореей;I02.0;80089
10080019;Эндокардит ревматический активный с ревматической хореей;I02.0;80090
10080020;Эндокардит ревматический активный с хореей;I02.0;80091
10080021;Эндокардит ревматический активный с хореей Сиденгама;I02.0;80092
10080022;Эндокардит ревматический активный трехстворчатого клапана;I01.1;80093
10080023;Эндокардит ревматический активный трехстворчатого клапана с острой хореей;I02.0;80094
10080024;Эндокардит ревматический активный трехстворчатого клапана с ревматической хореей;I02.0;80095
10080025;Эндокардит ревматический активный трехстворчатого клапана с хореей;I02.0;80096
10080026;Эндокардит ревматический активный трехстворчатого клапана с хореей Сиденгама;I02.0;80097
10080027;Эндокардит ревматический острый;I01.1;80098
10080028;Эндокардит ревматический острый аортального клапана;I01.1;80099
10080029;Эндокардит ревматический острый аортального клапана с острой хореей;I02.0;80100
10080030;Эндокардит ревматический острый аортального клапана с ревматической хореей;I02.0;80101
10080031;Эндокардит ревматический острый аортального клапана с хореей;I02.0;80102
10080032;Эндокардит ревматический острый аортального клапана с хореей Сиденгама;I02.0;80103
10080033;Эндокардит ревматический острый клапана легочной артерии;I01.1;80104
10080034;Эндокардит ревматический острый клапана легочной артерии с острой хореей;I02.0;80105
10080035;Эндокардит ревматический острый клапана легочной артерии с ревматической хореей;I02.0;80106
10080036;Эндокардит ревматический острый клапана легочной артерии с хореей;I02.0;80107
10080037;Эндокардит ревматический острый клапана легочной артерии с хореей Сиденгама;I02.0;80108
10080038;Эндокардит ревматический острый митрального клапана;I01.1;80109
10080039;Эндокардит ревматический острый митрального клапана с острой хореей;I02.0;80110
10080040;Эндокардит ревматический острый митрального клапана с ревматической хореей;I02.0;80111
10080041;Эндокардит ревматический острый митрального клапана с хореей;I02.0;80112
10080042;Эндокардит ревматический острый митрального клапана с хореей Сиденгама;I02.0;80113
10080043;Эндокардит ревматический острый с острой хореей;I02.0;80114
10080044;Эндокардит ревматический острый с ревматической хореей;I02.0;80115
10080045;Эндокардит ревматический острый с хореей;I02.0;80116
10080046;Эндокардит ревматический острый с хореей Сиденгама;I02.0;80117
10080047;Эндокардит ревматический острый трехстворчатого клапана;I01.1;80118
10080048;Эндокардит ревматический острый трехстворчатого клапана с острой хореей;I02.0;80119
10080049;Эндокардит ревматический острый трехстворчатого клапана с ревматической хореей;I02.0;80120
10080050;Эндокардит ревматический острый трехстворчатого клапана с хореей;I02.0;80121
10080051;Эндокардит ревматический острый трехстворчатого клапана с хореей Сиденгама;I02.0;80122
10080052;Эндокардит септический;I33.0;80123
10080053;Эндокардит септический острый;I33.0;80124
10080054;Эндокардит септический подострый;I33.0;80125
10080055;Эндокардит сифилитический;A52.0;80126
10080056;Эндокардит стрептококковый;I33.0;80127
10080057;Эндокардит стрептококковый острый;I33.0;80128
10080058;Эндокардит стрептококковый подострый;I33.0;80129
10080059;Эндокардит токсический;I33.9;80130
10080060;Эндокардит трехстворчатого клапана;I07.8;80131
10080061;Эндокардит трехстворчатого клапана активный;I01.1;80132
10080062;Эндокардит трехстворчатого клапана активный с острой хореей;I02.0;80133
10080063;Эндокардит трехстворчатого клапана активный с ревматической хореей;I02.0;80134
10080064;Эндокардит трехстворчатого клапана активный с хореей;I02.0;80135
10080065;Эндокардит трехстворчатого клапана активный с хореей Сиденгама;I02.0;80136
10080066;Эндокардит трехстворчатого клапана атеросклеротический;I36.8;80137
10080067;Эндокардит трехстворчатого клапана неактивный;I07.8;80138
10080068;Эндокардит трехстворчатого клапана неревматический;I36.8;80139
10080069;Эндокардит трехстворчатого клапана неревматический острый;I33.9;80140
10080070;Эндокардит трехстворчатого клапана неревматический подострый;I33.9;80141
10080071;Эндокардит трехстворчатого клапана острый;I01.1;80142
10080072;Эндокардит трехстворчатого клапана острый с острой хореей;I02.0;80143
10080073;Эндокардит трехстворчатого клапана острый с ревматической хореей;I02.0;80144
10080074;Эндокардит трехстворчатого клапана острый с хореей;I02.0;80145
10080075;Эндокардит трехстворчатого клапана острый с хореей Сиденгама;I02.0;80146
10080076;Эндокардит трехстворчатого клапана ревматический;I07.8;80147
10080077;Эндокардит трехстворчатого клапана с болезнью аортального клапана;I08.2;80148
10080078;Эндокардит трехстворчатого клапана с болезнью аортального клапана и болезнью митрального клапана;I08.3;80149
10080079;Эндокардит трехстворчатого клапана с болезнью митрального клапана;I08.1;80150
10080080;Эндокардит трехстворчатого клапана с болезнью митрального клапана и болезнью аортального клапана;I08.3;80151
10080081;Эндокардит трехстворчатого клапана с ревматической лихорадкой в неактивной фазе;I07.8;80152
10080082;Эндокардит трехстворчатого клапана с ревматической лихорадкой в неактивной фазе с хореей;I07.8;80153
10080083;Эндокардит трехстворчатого клапана с ревматической лихорадкой в фазе покоя;I07.8;80154
10080084;Эндокардит трехстворчатого клапана с ревматической лихорадкой в фазе покоя с хореей;I07.8;80155
10080085;Эндокардит трехстворчатого клапана с хореей;I07.8;80156
10080086;Эндокардит трехстворчатого клапана уточненной причины, за исключением ревматизма;I36.8;80157
10080087;Эндокардит трехстворчатого клапана хронический;I07.8;80158
10080088;Эндокардит тромботический;I38;80159
10080089;Эндокардит туберкулезный;A18.8;80160
10080090;Эндокардит у плода;I42.4;80161
10080091;Эндокардит хронический;I38;80162
10080092;Эндокардит язвенный;I33.0;80163
10080093;Эндокардит язвенный острый;I33.0;80164
10080094;Эндокардит язвенный подострый;I33.0;80165
10080095;Эндокардит, вызванный Coxiella burnetii;A78;80166
10080096;Эндокардит, вызванный вирусом Коксаки;B33.2;80167
10080097;Эндокардит, вызванный протезом сердечного клапана;T82.6;80168
10080098;Эндометриоз;N80.9;80169
10080099;Эндометриоз в коже;N80.6;80170
10080100;Эндометриоз в рубце;N80.6;80171
10080101;Эндометриоз влагалища;N80.4;80172
10080102;Эндометриоз кишечника;N80.5;80173
10080103;Эндометриоз матки;N80.0;80174
10080104;Эндометриоз маточной трубы;N80.2;80175
10080105;Эндометриоз ретровагинальной перегородки влагалища;N80.4;80176
10080106;Эндометриоз стромальный;D39.0;80177
10080107;Эндометриоз тазовой брюшины;N80.3;80178
10080108;Эндометриоз уточненной локализации;N80.8;80179
10080109;Эндометриоз яичника;N80.1;80180
10080110;Эндометрит;N71.9;80181
10080111;Эндометрит бленнорейный;A54.2;80182
10080112;Эндометрит бленнорейный острый;A54.2;80183
10080113;Эндометрит бленнорейный хронический;A54.2;80184
10080114;Эндометрит вследствие аборта;O08.0;80185
10080115;Эндометрит вследствие аборта, последующий эпизод;O08.0;80186
10080116;Эндометрит вследствие молярной беременности;O08.0;80187
10080117;Эндометрит вследствие эктопической беременности;O08.0;80188
10080118;Эндометрит гиперпластический;N85.0;80189
10080119;Эндометрит гиперпластический шейки;N72;80190
10080120;Эндометрит гнойный;N71.9;80191
10080121;Эндометрит гонококковый;A54.2;80192
10080122;Эндометрит гонококковый острый;A54.2;80193
10080123;Эндометрит гонококковый хронический;A54.2;80194
10080124;Эндометрит гонорейный;A54.2;80195
10080125;Эндометрит гонорейный острый;A54.2;80196
10080126;Эндометрит гонорейный хронический;A54.2;80197
10080127;Эндометрит неспецифический;N71.9;80198
10080128;Эндометрит осложняющий беременность;O23.5;80199
10080129;Эндометрит осложняющий беременность, влияние на новорожденного;P00.8;80200
10080130;Эндометрит осложняющий беременность, влияние на плод;P00.8;80201
10080131;Эндометрит острый;N71.0;80202
10080132;Эндометрит подострый;N71.0;80203
10080133;Эндометрит после родов;O85;80204
10080134;Эндометрит послеродовой;O85;80205
10080135;Эндометрит септический;N71.9;80206
10080136;Эндометрит старческий;N71.9;80207
10080137;Эндометрит старческий атрофический;N71.9;80208
10080138;Эндометрит туберкулезный;A18.1;80209
10080139;Эндометрит хламидийный;A56.1;80210
10080140;Эндометрит хронический;N71.1;80211
10080141;Эндометрит шеечный;N72;80212
10080142;Эндометрит шеечный гиперпластический;N72;80213
10080143;Эндометрит шеечный с эктропионом;N72;80214
10080144;Эндометрит шеечный с эрозией;N72;80215
10080145;Эндометрит шейки матки;N72;80216
10080146;Эндометрит шейки матки гиперпластический;N72;80217
10080147;Эндометрит шейки матки с эктропионом;N72;80218
10080148;Эндометрит шейки матки с эрозией;N72;80219
10080149;Эндомиометрит;N71.9;80220
10080150;Эндомиофиброз;I42.3;80221
10080151;Эндосальпингиома;D28.2;80222
10080152;Эндотелиоз;D69.8;80223
10080153;Эндотелиоз геморрагический инфекционный;D69.8;80224
10080154;Эндотрахелит;N72;80225
10080155;Эндофлебит;I80.9;80226
10080156;Эндофтальмит;H44.0;80227
10080157;Эндофтальмит вызванный онхоцеркозом;B73;80228
10080158;Эндофтальмит вызванный токсокарозом;B83.0;80229
10080159;Эндофтальмит вызванный цистицеркозом;B69.1;80230
10080160;Эндофтальмит гнойный;H44.0;80231
10080161;Эндофтальмит гонорейный;A54.3;80232
10080162;Эндофтальмит инфекционный;H44.0;80233
10080163;Эндофтальмит метастатический;H44.0;80234
10080164;Эндофтальмит острый;H44.0;80235
10080165;Эндофтальмит паразитарный;H44.1;80236
10080166;Эндофтальмит подострый;H44.0;80237
10080167;Эндофтальмит после медицинских вмешательств;H59.8;80238
10080168;Эндофтальмит при онхоцеркозе;B73;80239
10080169;Эндофтальмит при токсокарозе;B83.0;80240
10080170;Эндофтальмит при цистицеркозе;B69.1;80241
10080171;Эндофтальмит симпатический;H44.1;80242
10080172;Эндофтальмит уточненный;H44.1;80243
10080173;Эндофтальмия;H44.0;80244
10080174;Эндоцервицит;N72;80245
10080175;Эндоцервицит гиперпластический;N72;80246
10080176;Эндоцервицит, вызванный внутриматочным противозачаточным устройством;T83.6;80247
10080177;Энкопрез;R15;80248
10080178;Энкопрез неорганического происхождения;F98.1;80249
10080179;Энкопрез психогенный;F98.1;80250
10080180;Энкопрез функциональный;F98.1;80251
10080181;Энофтальм;H05.4;80252
10080182;Энтезопатия;M77.9;80253
10080183;Энтезопатия голеностопного сустава и предплюсны;M77.5;80254
10080184;Энтезопатия коленного сустава;M76.8;80255
10080185;Энтезопатия локтевой области;M77.8;80256
10080186;Энтезопатия лучезапястного сустава и запястья;M77.8;80257
10080187;Энтезопатия нижней конечности;M76.9;80258
10080188;Энтезопатия периферическая;M77.9;80259
10080189;Энтезопатия плеча;M75.9;80260
10080190;Энтезопатия плеча адгезивная;M75.0;80261
10080191;Энтезопатия плеча уточненная;M75.8;80262
10080192;Энтезопатия позвоночника;M46.0;80263
10080193;Энтезопатия стопы;M77.5;80264
10080194;Энтезопатия тазобедренного сустава;M76.8;80265
10080195;Энтезопатия уточненная;M77.8;80266
10080196;Энтезопатия уточненной области нижней конечности;M76.8;80267
10080197;Энтералгия;R10.4;80268
10080198;Энтерит;A09.9;80269
10080199;Энтерит аллергический;K52.2;80270
10080200;Энтерит амебный;A06.0;80271
10080201;Энтерит амебный недизентерийный;A06.2;80272
10080202;Энтерит амебный острый;A06.0;80273
10080203;Энтерит амебный острый недизентерийный;A06.2;80274
10080204;Энтерит амебный хронический;A06.1;80275
10080205;Энтерит амебный хронический недизентерийный;A06.2;80276
10080206;Энтерит бактериальный;A04.9;80277
10080207;Энтерит бактериальный уточненный;A04.8;80278
10080208;Энтерит бациллярный;A03.9;80279
10080209;Энтерит вирусный;A08.4;80280
10080210;Энтерит вирусный аденовирусный;A08.2;80281
10080211;Энтерит вирусный, вызванный Rotavirus;A08.0;80282
10080212;Энтерит вирусный, вызванный мелким круглым вирусом;A08.1;80283
10080213;Энтерит вирусный, вызванный уточненным вирусом;A08.3;80284
10080214;Энтерит вызванный Chilomastix;A07.8;80285
10080215;Энтерит вызванный Shigella;A03.9;80286
10080216;Энтерит вызванный Yersinia enterocolica;A04.6;80287
10080217;Энтерит гангренозный;A09.0;80288
10080218;Энтерит геморрагический;A09.9;80289
10080219;Энтерит гриппозный;J11.8;80290
10080220;Энтерит гриппозный другой, вызванный идентифицированным сезонным вирусом гриппа;J10.8;80291
10080221;Энтерит диарейный;A09.9;80292
10080222;Энтерит жиардиазный;A07.1;80293
10080223;Энтерит инфекционный;A09.0;80294
10080224;Энтерит инфекционный, вызванный Aerobacter aerogenes;A04.8;80295
10080225;Энтерит инфекционный, вызванный Arizona;A02.0;80296
10080226;Энтерит инфекционный, вызванный Arizona bacillus;A02.0;80297
10080227;Энтерит инфекционный, вызванный Campylobacter;A04.5;80298
10080228;Энтерит инфекционный, вызванный Clostridium perfringens;A04.8;80299
10080229;Энтерит инфекционный, вызванный Enterobacter aerogenes;A04.8;80300
10080230;Энтерит инфекционный, вызванный Escherichia coli;A04.4;80301
10080231;Энтерит инфекционный, вызванный Escherichia coli уточненный;A04.4;80302
10080232;Энтерит инфекционный, вызванный Escherichia coli энтероаггрегативный;A04.4;80303
10080233;Энтерит инфекционный, вызванный Escherichia coli энтерогеморрагический;A04.3;80304
10080234;Энтерит инфекционный, вызванный Escherichia coli энтероинвазивный;A04.2;80305
10080235;Энтерит инфекционный, вызванный Escherichia coli энтеропатогенный;A04.0;80306
10080236;Энтерит инфекционный, вызванный Escherichia coli энтеротоксигенный;A04.1;80307
10080237;Энтерит инфекционный, вызванный Staphylococcus;A04.8;80308
10080238;Энтерит инфекционный, вызванный Yersinia enterocolitica;A04.6;80309
10080239;Энтерит инфекционный, вызванный аденовирусом;A08.2;80310
10080240;Энтерит инфекционный, вызванный бактериями;A04.9;80311
10080241;Энтерит инфекционный, вызванный вирусом;A08.4;80312
10080242;Энтерит инфекционный, вызванный уточненной бактерией;A04.8;80313
10080243;Энтерит инфекционный, вызванный уточненным вирусом;A08.3;80314
10080244;Энтерит инфекционный, вызванный уточненными бактериями;A04.8;80315
10080245;Энтерит инфекционный, вызванный энтеровирусом;A08.3;80316
10080246;Энтерит инфекционный, уточненный возбудитель;A08.5;80317
10080247;Энтерит ишемический;K55.9;80318
10080248;Энтерит ишемический острый;K55.0;80319
10080249;Энтерит ишемический хронический;K55.1;80320
10080250;Энтерит кандидозный;B37.8;80321
10080251;Энтерит кокцидиозный;A07.3;80322
10080252;Энтерит неинфекционный;K52.9;80323
10080253;Энтерит некротизирующий у новорожденного;P77;80324
10080254;Энтерит некротизирующий у плода;P77;80325
10080255;Энтерит некротический;A05.2;80326
10080256;Энтерит острый;A09.9;80327
10080257;Энтерит острый геморрагический;A09.0;80328
10080258;Энтерит острый кровавый;A09.0;80329
10080259;Энтерит паразитарный;B82.9;80330
10080260;Энтерит паратифозный;A01.4;80331
10080261;Энтерит пищевой;K52.2;80332
10080262;Энтерит пищевой гиперсенситивный;K52.2;80333
10080263;Энтерит предположительно неинфекционный;K52.9;80334
10080264;Энтерит протозойный;A07.9;80335
10080265;Энтерит протозойный уточненный;A07.8;80336
10080266;Энтерит регионарный;K50.9;80337
10080267;Энтерит регионарный двенадцатиперстной кишки;K50.0;80338
10080268;Энтерит регионарный кишечника;K50.9;80339
10080269;Энтерит регионарный ободочной кишки;K50.1;80340
10080270;Энтерит регионарный подвздошной кишки;K50.0;80341
10080271;Энтерит регионарный прямой кишки;K50.1;80342
10080272;Энтерит регионарный толстого и тонкого кишечника;K50.8;80343
10080273;Энтерит регионарный толстого кишечника;K50.1;80344
10080274;Энтерит регионарный тонкого и толстого кишечника;K50.8;80345
10080275;Энтерит регионарный тонкого кишечника;K50.0;80346
10080276;Энтерит регионарный тощей кишки;K50.0;80347
10080277;Энтерит ротавирусный;A08.0;80348
10080278;Энтерит сальмонеллезный, вызванный Salmonella;A02.0;80349
10080279;Энтерит сальмонеллезный, вызванный Salmonella arizonae;A02.0;80350
10080280;Энтерит сальмонеллезный, вызванный Salmonella cholerae-suis;A02.0;80351
10080281;Энтерит сальмонеллезный, вызванный Salmonella enteritidis;A02.0;80352
10080282;Энтерит сальмонеллезный, вызванный Salmonella typhimurium;A02.0;80353
10080283;Энтерит сегментарный;K50.9;80354
10080284;Энтерит септический;A09.0;80355
10080285;Энтерит стафилококковый;A04.8;80356
10080286;Энтерит тифозный;A01.0;80357
10080287;Энтерит токсический;K52.1;80358
10080288;Энтерит трихомонадный;A07.8;80359
10080289;Энтерит туберкулезный;A18.3;80360
10080290;Энтерит уточненный;K51.8;80361
10080291;Энтерит хронический;K52.9;80362
10080292;Энтерит хронический неинфекционный;K52.9;80363
10080293;Энтерит хронический язвенный;K51.9;80364
10080294;Энтерит Эль-тор;A00.1;80365
10080295;Энтерит энтеровирусный;A08.3;80366
10080296;Энтерит эпидемический;A09.0;80367
10080297;Энтерит язвенный;K51.9;80368
10080298;Энтерит язвенный хронический;K51.9;80369
10080299;Энтерит, вызванный зоонозным вирусом кишечного гриппа;J09;80370
10080300;Энтерит, вызванный кишечным гриппом, с идентифицированным определенным вирусом гриппа;J09;80371
10080301;Энтерит, вызванный пандемическим вирусом кишечного гриппа;J09;80372
10080302;Энтеробиоз, инвазия;B80;80373
10080303;Энтеробиоз, инфекция;B80;80374
10080304;Энтероколит;A09.9;80375
10080305;Энтероколит вызванный Clostridium difficile;A04.7;80376
10080306;Энтероколит геморрагический;K55.0;80377
10080307;Энтероколит геморрагический острый;K55.0;80378
10080308;Энтероколит инфекционный;A09.0;80379
10080309;Энтероколит ишемический;K55.9;80380
10080310;Энтероколит молниеносный ишемический;K55.0;80381
10080311;Энтероколит некротизирующий у новорожденного;P77;80382
10080312;Энтероколит некротизирующий у плода;P77;80383
10080313;Энтероколит некротизирующий, вызванный Clostridium difficile;A04.7;80384
10080314;Энтероколит язвенный;K51.0;80385
10080315;Энтероколит язвенный хронический;K51.0;80386
10080316;Энтеролит;K56.4;80387
10080317;Энтеролит, закрытие просвета;K56.4;80388
10080318;Энтеролитиаз;K56.4;80389
10080319;Энтеролитиаз, закрытие просвета;K56.4;80390
10080320;Энтеропатия;K63.9;80391
10080321;Энтеропатия глутеновая;K90.0;80392
10080322;Энтеропатия, связанная с потерей белка;K90.4;80393
10080323;Энтероптоз;K63.4;80394
10080324;Энтероррагия;K92.2;80395
10080325;Энтеростеноз;K56.6;80396
10080326;Энтероцеле;K46.9;80397
10080327;Энтероцеле влагалища;N81.5;80398
10080328;Энтероцеле влагалища врожденное;N81.5;80399
10080329;Энтероцеле влагалища приобретенное;N81.5;80400
10080330;Энтероцеле влагалищное;N81.5;80401
10080331;Энтероцеле влагалищное врожденное;N81.5;80402
10080332;Энтероцеле влагалищное приобретенное;N81.5;80403
10080333;Энтомофтормикоз;B46.8;80404
10080334;Энтропион;H02.0;80405
10080335;Энтропион века;H02.0;80406
10080336;Энтропион врожденный;Q10.2;80407
10080337;Энтропион врожденный века;Q10.2;80408
10080338;Энтропион паралитический;H02.0;80409
10080339;Энтропион рубцовый;H02.0;80410
10080340;Энтропион спастический;H02.0;80411
10080341;Энтропион старческий;H02.0;80412
10080342;Энуклеация глаза;S05.7;80413
10080343;Энуклеация глаза травматическая;S05.7;80414
10080344;Энуклеация глаза, текущая травма;S05.7;80415
10080345;Энурез;R32;80416
10080346;Энурез неорганического происхождения;F98.0;80417
10080347;Энурез ночной;R32;80418
10080348;Энурез ночной психогенный;F98.0;80419
10080349;Энурез психогенный;F98.0;80420
10080350;Энурез функциональный;F98.0;80421
10080351;Энхондроматоз;Q78.4;80422
10080352;Энхондроматоз множественный;Q78.4;80423
10080353;Энхондроматоз хрящевой;Q78.4;80424
10080354;Энцефалит;G04.9;80425
10080355;Энцефалит австралийский;A83.4;80426
10080356;Энцефалит арбовирусный;A85.2;80427
10080357;Энцефалит венесуэльский лошадиный;A92.2;80428
10080358;Энцефалит венского типа;A85.8;80429
10080359;Энцефалит вирусный;A86;80430
10080360;Энцефалит вирусный передаваемый клещами;A84.9;80431
10080361;Энцефалит вирусный передаваемый клещами уточненный;A84.8;80432
10080362;Энцефалит вирусный передаваемый комарами;A83.9;80433
10080363;Энцефалит вирусный передаваемый комарами уточненный;A83.8;80434
10080364;Энцефалит вирусный передаваемый членистоногими;A85.2;80435
10080365;Энцефалит вирусный уточненного типа;A85.8;80436
10080366;Энцефалит волчаночный;M32.1;80437
10080367;Энцефалит вследствие гриппа зоонозный, вызванный идентифицированным вирусом;J09;80438
10080368;Энцефалит вследствие гриппа пандемический, вызванный идентифицированным вирусом;J09;80439
10080369;Энцефалит вызванный аденовирусом;A85.1;80440
10080370;Энцефалит вызванный вирусом;A86;80441
10080371;Энцефалит вызванный вирусом Ильеус;A83.8;80442
10080372;Энцефалит геморрагический;G04.9;80443
10080373;Энцефалит герпесвирусный;B00.4;80444
